Resource,DS-OWNER,DS-CRM,DS-CONT,DS-OP,DS-SV,DS-CS,DS-CS-MGR,DS-3PL,DS-CRD,DS-GAC,troubleshooting,DS-VD,DS-SD
Magento_Catalog::attributes_attributes,,,,,,,,,,,1,1,
Magento_Catalog::update_attributes,,,,,,,,,,,1,1,
Magento_Catalog::sets,,,,,,,,,,,1,1,
Magento_Rma::rma_attribute,,,,,,,,,,,1,1,
Magento_Review::ratings,,,,,,,,,,,1,1,
Magento_Backend::stores_other_settings,1,,,,,,,,,,1,,
Magento_Customer::group,,,,,,,,,,,1,,
Magento_Reward::rates,,,,,,,,,,,1,,
Magento_GiftWrapping::magento_giftwrapping,1,,,,,,,,,,1,,
Magento_GiftRegistry::customer_magento_giftregistry,1,,,,,,,,,,1,,
Riki_GiftWrapping::import_giftwrapping,1,,,,,,,,,,1,,
Riki_User::import_password,,,,,,,,,,,1,,
Magento_Backend::system,1,1,1,1,1,1,1,1,1,1,1,1,1
Riki_ArReconciliation::import_payment_csv,,,,,,,,,,1,1,,
Riki_ArReconciliation::import_payment_csv_file,,,,,,,,,,1,1,,
Bluecom_Scheduler::scheduler,,,,,,,,,,,1,,
Bluecom_Scheduler::schedules,,,,,,,,,,,1,,
Riki_ReceiveCvsPayment::receivecvspayment,,,,,,,,,,,1,1,
Riki_ReceiveCvsPayment::importing,,,,,,,,,,,1,1,
Magento_Backend::convert,,,,,,,,,,,1,1,
Magento_ImportExport::import,,,,,,,,,,,1,1,
Magento_ImportExport::export,,,,,,,,,,,1,1,
Magento_TaxImportExport::import_export,,,,,,,,,,,1,1,
Magento_ImportExport::history,,,,,,,,,,,1,1,
Magento_ScheduledImportExport::magento_scheduled_operation,,,,,,,,,,,1,1,
Magento_Backend::extensions,,,,,,,,,,,1,1,
Magento_Backend::local,,,,,,,,,,,1,1,
Magento_Backend::custom,,,,,,,,,,,1,1,
Mirasvit_FraudCheck::fraud_check,,,,,,,,,1,,1,1,
Mirasvit_FraudCheck::fraud_check_score,,,,,,,,,1,,1,1,
Mirasvit_FraudCheck::fraud_check_rule,,,,,,,,,1,,1,1,
Riki_FairAndSeasonalGift::fair_seasonal,1,,,,,,,,,,1,,
Riki_FairAndSeasonalGift::fair_management,1,,,,,,,,,,1,,
Riki_FairAndSeasonalGift::fair_import,,,,,,,,,,,1,,
Magento_Backend::tools,1,1,1,1,1,1,1,1,1,1,1,1,
Magento_Support::support,,,,,,,,,,,1,1,
Magento_Support::support_report,,,,,,,,,,,1,1,
Magento_Backend::cache,1,1,1,1,1,1,1,1,1,1,1,1,
Magento_Backend::setup_wizard,,,,,,,,,,,1,1,
